user_creation_year,elite_flag,TotalReviews_2005,TotalReviews_2006,TotalReviews_2007,TotalReviews_2008,TotalReviews_2009,TotalReviews_2010,TotalReviews_2011,TotalReviews_2012,TotalReviews_2013,TotalReviews_2014,TotalReviews_2015,TotalReviews_2016,TotalReviews_2017
2005,0,184,422,692,408,451,446,351,230,167,188,123,182,107
2005,1,461,437,280,159,155,87,80,55,36,41,31,17,56
2006,0,0,787,3404,2901,2115,1764,1942,1493,1396,1128,1043,1117,1001
2006,1,0,1642,1265,1054,745,695,383,314,232,207,190,274,137
2007,0,0,0,3397,7812,6509,6532,6618,4898,5336,3436,3180,2648,2294
2007,1,0,0,3787,2638,1621,1621,1427,770,600,521,731,515,356
2008,0,0,0,0,6546,12017,13489,12428,10844,9658,8338,7046,5857,5613
2008,1,0,0,0,6012,2852,2168,1750,1163,1030,850,637,691,587
2009,0,0,0,0,0,7211,20897,20626,19039,17390,14450,12636,12538,10137
2009,1,0,0,0,0,9139,6281,5062,3126,2199,1552,1010,941,812
2010,0,0,0,0,0,0,9660,27219,24570,23876,20919,19972,18252,16645
2010,1,0,0,0,0,0,13997,10611,6292,4959,3187,2429,1783,1485
2011,0,0,0,0,0,0,0,10837,26643,29131,26404,26486,25719,24621
2011,1,0,0,0,0,0,0,10672,7118,4665,2779,2278,1565,1441
2012,0,0,0,0,0,0,0,0,6392,21102,21804,25274,24975,24369
2012,1,0,0,0,0,0,0,0,9034,6506,4068,2672,2155,1960
2013,0,0,0,0,0,0,0,0,0,7333,18410,23756,25062,23849
2013,1,0,0,0,0,0,0,0,0,5525,3305,1822,1299,855
2014,0,0,0,0,0,0,0,0,0,0,9193,24004,27317,25519
2014,1,0,0,0,0,0,0,0,0,0,6364,3747,1989,1604
2015,0,0,0,0,0,0,0,0,0,0,0,7388,22372,24634
2015,1,0,0,0,0,0,0,0,0,0,0,8428,4693,2495
2016,0,0,0,0,0,0,0,0,0,0,0,0,3995,12851
2016,1,0,0,0,0,0,0,0,0,0,0,0,9055,4452
2017,1,0,0,0,0,0,0,0,0,0,0,0,0,8896
