Year,Elite,Comments
12/31/2005,0,1
12/31/2005,0,4
12/31/2005,0,7
12/31/2005,0,5
12/31/2005,0,1
12/31/2005,0,4
12/31/2005,0,1
12/31/2005,0,1
12/31/2005,0,3
12/31/2005,0,3
12/31/2005,0,2
12/31/2005,0,1
12/31/2005,0,2
12/31/2005,0,14
12/31/2005,0,4
12/31/2005,0,1
12/31/2005,0,3
12/31/2005,0,1
12/31/2005,0,6
12/31/2005,0,1
12/31/2005,0,113
12/31/2005,0,7
12/31/2005,0,1
01/01/2005,1,2
01/01/2005,1,5
01/01/2005,1,63
01/01/2005,1,1
01/01/2005,1,1
01/01/2005,1,5
01/01/2005,1,2
01/01/2005,1,8
01/01/2005,1,2
01/01/2005,1,1
01/01/2005,1,1
01/01/2005,1,21
01/01/2005,1,1
01/01/2005,1,4
01/01/2005,1,21
01/01/2005,1,5
01/01/2005,1,4
01/01/2005,1,2
01/01/2005,1,13
01/01/2005,1,2
01/01/2005,1,1
01/01/2005,1,4
01/01/2005,1,25
01/01/2005,1,4
01/01/2005,1,1
01/01/2005,1,20
01/01/2005,1,1
01/01/2005,1,76
01/01/2005,1,1
01/01/2005,1,67
01/01/2005,1,18
01/01/2005,1,1
01/01/2005,1,1
01/01/2005,1,2
01/01/2005,1,7
01/01/2005,1,1
01/01/2005,1,4
01/01/2005,1,1
01/01/2005,1,4
01/01/2005,1,9
01/01/2005,1,3
01/01/2005,1,3
01/01/2005,1,4
01/01/2005,1,5
01/01/2005,1,5
01/01/2005,1,3
01/01/2005,1,1
01/01/2005,1,1
01/01/2005,1,3
01/01/2005,1,8
01/01/2005,1,2
01/01/2005,1,6
01/01/2005,1,1
01/01/2005,1,1
01/01/2005,1,4
01/01/2005,1,4
01/01/2005,1,1
01/01/2005,1,3
12/31/2006,0,2
12/31/2006,0,9
12/31/2006,0,1
12/31/2006,0,1
12/31/2006,0,1
12/31/2006,0,1
12/31/2006,0,2
12/31/2006,0,1
12/31/2006,0,1
12/31/2006,0,2
12/31/2006,0,2
12/31/2006,0,1
12/31/2006,0,1
12/31/2006,0,3
12/31/2006,0,1
12/31/2006,0,1
12/31/2006,0,1
12/31/2006,0,6
12/31/2006,0,55
12/31/2006,0,3
12/31/2006,0,12
12/31/2006,0,25
12/31/2006,0,1
12/31/2006,0,2
12/31/2006,0,8
12/31/2006,0,33
12/31/2006,0,1
12/31/2006,0,4
12/31/2006,0,1
12/31/2006,0,1
12/31/2006,0,2
12/31/2006,0,5
12/31/2006,0,2
12/31/2006,0,3
12/31/2006,0,6
12/31/2006,0,10
12/31/2006,0,1
12/31/2006,0,10
12/31/2006,0,1
12/31/2006,0,1
12/31/2006,0,1
12/31/2006,0,2
12/31/2006,0,1
12/31/2006,0,1
12/31/2006,0,8
12/31/2006,0,6
12/31/2006,0,1
12/31/2006,0,1
12/31/2006,0,2
12/31/2006,0,12
12/31/2006,0,2
12/31/2006,0,27
12/31/2006,0,1
12/31/2006,0,1
12/31/2006,0,3
12/31/2006,0,35
12/31/2006,0,1
12/31/2006,0,2
12/31/2006,0,4
12/31/2006,0,17
12/31/2006,0,4
12/31/2006,0,7
12/31/2006,0,13
12/31/2006,0,1
12/31/2006,0,8
12/31/2006,0,1
12/31/2006,0,2
12/31/2006,0,30
12/31/2006,0,7
12/31/2006,0,1
12/31/2006,0,1
12/31/2006,0,13
12/31/2006,0,21
12/31/2006,0,2
12/31/2006,0,1
12/31/2006,0,1
12/31/2006,0,1
12/31/2006,0,13
12/31/2006,0,1
12/31/2006,0,2
12/31/2006,0,1
12/31/2006,0,2
12/31/2006,0,4
12/31/2006,0,1
12/31/2006,0,13
12/31/2006,0,3
12/31/2006,0,21
12/31/2006,0,5
12/31/2006,0,4
12/31/2006,0,1
12/31/2006,0,2
12/31/2006,0,1
12/31/2006,0,1
12/31/2006,0,1
12/31/2006,0,1
12/31/2006,0,1
12/31/2006,0,1
12/31/2006,0,3
12/31/2006,0,2
12/31/2006,0,11
12/31/2006,0,1
12/31/2006,0,1
12/31/2006,0,2
12/31/2006,0,4
12/31/2006,0,1
12/31/2006,0,1
12/31/2006,0,5
12/31/2006,0,1
12/31/2006,0,42
12/31/2006,0,3
12/31/2006,0,18
12/31/2006,0,1
12/31/2006,0,3
12/31/2006,0,2
12/31/2006,0,1
12/31/2006,0,18
12/31/2006,0,1
12/31/2006,0,13
12/31/2006,0,1
12/31/2006,0,1
12/31/2006,0,10
12/31/2006,0,1
12/31/2006,0,1
12/31/2006,0,3
12/31/2006,0,4
12/31/2006,0,2
12/31/2006,0,2
12/31/2006,0,3
12/31/2006,0,2
12/31/2006,0,2
12/31/2006,0,10
12/31/2006,0,1
12/31/2006,0,10
12/31/2006,0,19
12/31/2006,0,5
12/31/2006,0,3
12/31/2006,0,10
12/31/2006,0,1
12/31/2006,0,1
